Nome da Lista;Nome do Card;Descrição do card;Comentários do Card
Currículo encontrado ; Centro Universitário Toledo (UNITOLEDO) ; Telefone : (18) 3636-7000 | Site : http://www.toledo.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4242304D5', 'https://www.linkedin.com/in/daniel-carvalho-leite-822b1970/', 'Informações de coordenação obtidas: | Coordenador: | Prof. Dr. Daniel Carvalho Leite | Email: daniel.leite@toledo.br | Tel: (18) 3636-7020
Currículo encontrado ; Centro Universitário de Adamantina (FAI) ; Telefone : (18) 3502-7010 | Site : http://www.fai.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4751268D1', 'https://www.linkedin.com/in/jos%C3%A9-luiz-vieira-de-oliveira-31336b92/', 'Informações de coordenação obtidas: | Fabricio Rimoldi | Email: coordagronomia@fai.com.br | Chefe do Departamento de Exatas e Agrárias: | JOSÉ LUIZ VIEIRA DE OLIVEIRA | Email: exatas@fai.com.br | 
Currículo encontrado ; Centro Universitário de Rio Preto (UNIRP) ; Telefone : (17) 3211-3000 | Site : http://www.unirp.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4753870E3', 'https://www.facebook.com/analidia.tonanitolfo', 'https://www.linkedin.com/in/ana-l%C3%ADdia-tonani-tolfo-1856baa6/', 'Não consegui contato com coordenadora do curso, porém obtive as seguintes informações: | E-mail coordenação: | agronomia@unirp.edu.br | Coordenadora: | Ana Lidia Tonani Tolfo
Currículo encontrado ; Centro Universitário de Araras (UNAR) ; Telefone : (19) 3321-8000 | Site : https://www.unar.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4284422Y3', 'https://www.facebook.com/vandarenata.reis', 'https://www.linkedin.com/search/results/all/?keywords=Vanda%20Renata%20Reis&origin=GLOBAL_SEARCH_HEADER', 'Informações de coordenação obtidas: | Coordenação: | \u200b | Dra. Vanda Renata Reis | E-mail: vanda.reis@unar.edu.br
Currículo encontrado ; Centro Universitário Adventista de São Paulo (UNASP) ; Telefone : (19) 3858-9000 | Site : http://unaspec.educacaoadventista.org.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4757576T6 | ', 'Mantive contato, porém não consegui falar com o mesmo. | Onde obtive seu ramal e nome completo. | Coordenador do curso: | Prof. Dr. Walter Augusto Fonseca de Carvalho | Ramal: |  9427
Currículo encontrado ; Universidade de Sorocaba (UNISO) ; Telefone : (15) 2101-7000 | Site : http://www.uniso.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4739822E3', 'Informações de coordenação obtidas:  | Coordenador(a): | Profa. Dra. Bertha Devora Agurto Berdejo de Castro | Email: bertha.castro@prof.uniso.br | Telefone: 2101-7010
Currículo encontrado ; Centro Universitário do Norte Paulista (UNORP) ; Telefone : (17) 3203-2500 | Site : http://unorp.br/ ; https://www.facebook.com/luciana.teixeiradepaula', 'Informações de coordenação obtidas: | Coordenadora | Profª. Luciana Teixeira de Paula (mestre) | Email: luciana.teixeira@unorp.br | 
Currículo encontrado ; Universidade do Sagrado Coração (USC) ; Telefone : (14) 2107-7000 | Site : http://www.usc.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4711213Z0 | ', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Dr. Pedro Bento da Silva | Email: pedro.silva@usc.br | Telefone: 2107-7128 | 
Currículo encontrado ; Centro Regional Universitário de Espírito Santo do Pinhal (UNIPINHAL) ; Telefone : (19) 3651-9600 | Site : https://www.unipinhal.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4138037J9', 'https://www.facebook.com/vasco.altafin.7', 'https://www.linkedin.com/in/vasco-luiz-altafin-b668402a/', 'Informações de coordenação obtidas: | Coordenador: Vasco Luiz Altafin | Email: vasco@unipinhal.edu.br
Currículo encontrado ; Instituto Municipal de Ensino Superior de Bebedouro Victório Cardassi (IMESB) ; Telefone : (17) 3345-9366 | Site : http://www.imesb.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4139874T3', 'https://www.linkedin.com/in/jo%C3%A3o-emmanuel-ribeiro-guimar%C3%A3es-58642368/', 'Informações de coordenação obtidas: | Coordenador | Prof. Dr. João Emmanuel Ribeiro Guimarães | Email: jerguimarães@uol.com.br
Currículo encontrado ; Faculdade Eduvale de Avaré (EDUVALE) ; Telefone : (14) 3733-8585 | Site : http://www.eduvaleavare.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4228742T3', 'https://www.facebook.com/luisrodrigo.miyamotobarberis', 'https://www.linkedin.com/in/luis-rodrigo-miyamoto-barberis-451366a1/', 'Informações de coordenação obtidas: | Coordenador: LUIS RODRIGO MIYAMOTO BARBERIS | Email:agronomia@eduvaleavare.com.br
Currículo encontrado ; Centro Universitário Central Paulista (UNICEP) ; Telefone : (16) 3362-2111 | Site : http://www.unicep.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766266Y4', 'https://www.linkedin.com/in/cristiana-de-gaspari-pezzopane-b4470624/', 'Informações de coordenação obtidas: | Coordenador(a): | Dra Cristiana de Gaspari Pezzopane | Email: cristiana.gaspari@gmail.com
Currículo encontrado ; Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP) ; Telefone : (14) 3880-7133 | Site : http://www.unesp.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4733383H9', 'https://www.linkedin.com/in/regiane-cristina-oliveira-de-freitas-bueno-b1452134/', 'Informações de coordenação obtidas: | Coordenador(a): Regiane Bueno | Email: regiane.bueno@unesp.br | Telefone: (14) 3880-7690
Currículo encontrado ; Centro Universitário da Fundação Educacional de Barretos (UNIFEB) ; Telefone : (17) 3321-6411 | Site : http://www.unifeb.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4713562U4 | ', 'https://www.linkedin.com/in/fabio-nobile-53579212b/', 'Informações de coordenação obtidas: | Coordenador  | PROFº. DR. FABIO NÓBILE | Email: agronomia@unifeb.edu.br | Telefone: (17) 3321-6377 |  
Currículo encontrado ; Faculdade de Ensino Superior Santa Barbara (FAESB) ; Telefone : (15) 3259-3838 | Site : http://www.faesb.edu.br/inicial ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4779142P2', 'Informações de coordenação obtidas: | Coordenador do Curso:\t | Prof. Dr. Thiago Fonseca Mezette | Email: agronomia@faesb.edu.br
Currículo encontrado ; Faculdade de Tecnologia e Ciencias do Norte do Paraná (FATECIE) ; Telefone : (44) 3045-9898 | Site : http://fatecie.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4750336P3', 'https://www.linkedin.com/in/julio-cesar-t-colella-2a58b87b/', 'https://www.facebook.com/juliocesar.tcolella', 'Informações de coordenação obtidas: | Coordenador(a): Julio Cesar Tocacelli | Email: ctocacelli@gmail.com | Telefone: (44) 99162-1976
Currículo encontrado ; Universidade Norte do Paraná (Unopar) Londrina ; Telefone : (43) 3371-7805 |  | Site : http://unopar.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4267417U2', 'https://www.facebook.com/larissa.colombo.10?epa=SEARCH_BOX | ', 'Informações de coordenação obtidas: | Coordenador(a): Larissa Abgariani Colombo | Telefone: (43) 3371 – 7700
Currículo encontrado ; Universidade Estadual do Centro Oeste (UNICENTRO) ; Telefone : (42) 3621-1000 | Site : https://www3.unicentro.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4759329D0', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Luiz Henrique Ilkiu Vidal | Telefone: (42) 3629-8224
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Paraná (IFPR) ; Telefone : (44) 3482-0110 | Site : http://www.ifpr.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732066P1', 'Informações de coordenação obtidas: | Coordenador(a): Christiano Santos Rocha Pitta | Email: agronomia.palmas@ifpr.edu.br
Currículo encontrado ; Universidade Tecnológica Federal do Paraná (UTFPR) 2 Vizinhos ; Telefone: (46) 3536-8900 | http://www.utfpr.edu.br/doisvizinhos/cursos/bacharelados/Ofertados-neste-Campus/agronomia ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4744415J2', 'Informações de coordenação obtidas: | Coordenador(a): Dr. Lucas da Silva Domingues | Email: coagr-dv@utfpr.edu.br | Telefone: (46) 3536-8900 (ramal 8920)', 'Site fora do ar | 
Currículo encontrado ; Universidade Paranaense (UNIPAR) ; Telefone : (44) 3421-4000, (44) 3619-3000, (44) 3621-2828 | Site : http://www.unipar.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4701866Y1', 'https://www.facebook.com/profile.php?id=100006227136849', 'Informações de coordenação obtidas: | Coordenador(a): Lucimar Pereira Bonett | Email: engenhagro-umu@unipar.br
Currículo encontrado ; Centro Universitário Ingá ; Telefone : (44) 3033-5009 | Site : http://uninga.br/ ; https://www.linkedin.com/in/sergio-riccardo-sirotti-272888144/', 'Informações de coordenação obtidas: | Coordenador(a): Sergio Riccardo Sirotti | Email: agronomia@uninga.edu.br
Currículo encontrado ; Centro Universitário Filadélfia (UNIFIL) ; Telefone : (43) 3375-7474 | Site : http://www.unifil.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4762386D7', 'https://www.linkedin.com/in/f%C3%A1bio-suano-souza-61604940/', 'Informações de coordenação obtidas: | Coordenador(a): Dr. Fábio Suano de Souza | Email: agronomia@unifil.br
Currículo encontrado ; Faculdade de Ensino Superior de São Miguel do Iguaçu (FAESI) ; Telefone : (45) 3565-3181 | Site : http://faesi.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4213504T6', 'Informações de coordenação obtidas: | Coordenador(a): Danielle Acco Cadorin | Email: agronomia@faesi.com.br | Telefone: (45) 3565-3181 | 
Currículo encontrado ; Faculdade Campo Real (CAMPO REAL) ; Telefone : (42) 3621-5200 | Site : http://www.camporeal.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4259284P9', 'https://www.linkedin.com/in/mateus-cassol-tagliani-52871b10a/', 'https://www.facebook.com/mateus.cassoltagliani', 'Informações de coordenação obtidas: | Coordenador(a): Mateus Cassol Tagliani | Email: prof_mateuscassol@camporeal.edu.br | 
Currículo encontrado ; Centro Universitário Dinâmica Das Cataratas (UDC) ; Telefone : (45) 3523-6900 | Site : http://www.udc.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4240865D4', 'https://www.facebook.com/martin.engler1', 'Informações de coordenação obtidas: | Coordenador(a): Martin Engler | Email: martin@udc.edu.br | Telefone: (45)3523-6900
Currículo encontrado ; Faculdade de Ensino Superior do Centro do Paraná (UCP) ; Telefone : (42) 3646-5555 | Site : http://www.ucpparana.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4104278A6', 'https://www.linkedin.com/in/andricia-verlindo-8ba845116/', 'https://www.facebook.com/averlindo', 'Informações de coordenação obtidas: | Coordenador(a): Andricia Verlindo | Email: engenhariaagronomica@ucpparana.edu.br
Currículo encontrado ; Faculdades Integradas do Vale do Iguaçu ; Telefone : (42) 3522-6192 | Site : http://www.uniguacu.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4213464H5', 'Informações de coordenação obtidas: | Coordenador(a): Zeno Jair Caesar Junior | Email: prof_zeno@uniguacu.edu.br
Currículo encontrado ; Faculdade Educacional de Dois Vizinhos (FAED) ; Telefone : (46) 3581-5000 | Site : http://www.unisep.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4434443H7', 'Informações de coordenação obtidas: | Coordenador(a): Marcelo Dotto | Email: marcelo.dotto@unisep.edu.br
Currículo encontrado ; Faculdade Pitágoras de Londrina ; Telefone : (43) 3373-7328 | Site : http://www.faculdadepitagoras.com.br/Paginas/Detalhes-do-Curso.aspx?UID=21&DID=150 ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4231151Z3', 'https://www.linkedin.com/in/luiz-j%C3%BAnior-perini-45b707a9/', 'https://www.facebook.com/luizjuniorperini', 'Informações de coordenação obtidas: | Coordenador(a): Luiz Junior Perini | Email: l.junior@pitagoras.com.br 
Currículo encontrado ; Faculdade Integrado de Campo Mourão (CEI) ; Telefone : (44) 3518-2500 | Site : http://www.grupointegrado.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4706047Y1', 'Informações de coordenação obtidas: | Coordenador(a): Nadia Cristina de Oliveira | Email:coord.agronomia@grupointegrado.br | 
Currículo encontrado ; Centro Universitário Assis Gurgacz (FAG) ; Telefone : (45) 3277-4000 | Site : http://www.fag.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4767618H6', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Dra. Ana Paula M. Mourão Simonetti | Email: agronomia@fag.edu.br
Currículo encontrado ; Faculdades Integradas dos Campos Gerais (CESCAGE) ; Telefone : (42) 3219-8000 | Site : http://www.cescage.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732552A6', 'https://www.facebook.com/jeanricardo.olinik', 'Informações de coordenação obtidas: | Coordenador(a): JEAN RICARDO OLINIK | Email: jean.olenik@cescage.edu.br | Telefone: 42 3219-8000
Currículo encontrado ; Pontifícia Universidade Católica do Paraná (PUCPR) ; Telefone : (41) 3271-1555 | Site : http://www.pucpr.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4238186U1', 'Informações de coordenação obtidas: | Coordenador(a): Aline Roberta De Carvalho Silvestrin
Currículo encontrado ; Universidade Estadual de Maringá (UEM) ; Telefone : (44) 3011-4040 | Site : http://www.uem.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785971H9', 'https://www.linkedin.com/in/telmo-tonin-77335025/', 'https://www.facebook.com/telmo.tonin', 'Informações de coordenação obtidas: | Coordenador(a): Telmo Tonin | Email: tatonin@uem.br | Tel: (44) 3011-8934
Currículo encontrado ; Universidade Estadual de Ponta Grossa (UEPG) ; Telefone : (42) 3220-3300 | Site : http://portal.uepg.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4780739Z6', 'https://www.linkedin.com/in/jos%C3%A9-raulindo-gardingo-3b263125/', 'https://www.facebook.com/joseraulindo.gardingo', 'Informações de coordenação obtidas: | Coordenador(a): José Raulindo Gardingo | Email: jrgardin@uepg.br
Currículo encontrado ; Universidade Estadual do Norte do Paraná (UENP) ; Telefone : (43) 3525-3589 | Site : http://www.uenp.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4787804E2', 'https://www.linkedin.com/in/jos%C3%A9-celso-martins-802a3a36/', 'https://www.facebook.com/josecelso.martins', 'Informações de coordenação obtidas: | Coordenador(a):  José Celso Martins  | Email:  jcelso@uenp.edu.br
Currículo encontrado ; Universidade Estadual do Oeste do Paraná (UNIOESTE) ; Telefone : (45) 3220-3000 | Site : http://www.unioeste.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4797620E7', 'https://www.facebook.com/claudio.tsutsumi', 'Informações de coordenação obtidas: | Coordenador(a): Cláudio Yuji Tsutsumi | Email: claudio.tsutsumi@unioeste.br | Telefone: (45) 32847806
Currículo encontrado ; Universidade Tuiuti do Paraná (UTP) ; Telefone : (41) 3331-7700 | Site : http://www.utp.br/veterinario ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4705102E0', 'Informações de coordenação obtidas: | Coordenador(a): Ana Luisa Palhano Silva | Telefone: (41) 3331-7740 | Email: ana.silva40@utp.br
Currículo encontrado ; Universidade Federal do Paraná (UFPR) ; Telefone : (41) 3360-5000 | Site : http://www.ufpr.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4780473P8', 'https://www.linkedin.com/in/luiz-antonio-corr%C3%AAa-lucchesi-a3380234/', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Luiz Antonio Corrêa Lucchesi | Departamento de Solos e Engenharia Agrícola – DSEA/AG | Email: lclucche@ufpr.br | Telefone: (41) 3350-5612
Currículo encontrado ; Centro Universitário da Grande Dourados (UNIGRAN) ; Telefone : (67) 3411-4141 | Site : http://portalrelacionamento.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4279875H8', 'https://www.linkedin.com/in/mateus-secretti-340ab5139/', 'https://www.facebook.com/mateussecretti', 'Informações de coordenação obtidas: | Coordenador(a): Mateus Secretti | Email: agronomia@unigran.br | Telefone: (67) 3411-4196
Currículo encontrado ; Universidade Anhanguera (UNIDERP) ; Telefone : (67) 3348 - 8000 | Site : http://www.uniderp.br/uniderp/vw_curso.aspx?CodCurso=4 ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766442Z9', 'Informações de coordenação obtidas: | Coordenador(a): Profª Ma. Graziella Ribeiro Brum | Ramal: Secretaria agronomia
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul (IFMS) ; Telefone : (67) 3357-8501 | Site : http://www.ifms.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4267447J7', 'Informações de coordenação obtidas: | Coordenador(a): Renan Soares de Souza | Email: renan.souza@ifms.edu.br | Telefone:(67) 3409-2501
Currículo encontrado ; Faculdades Integradas de Três Lagoas (AEMS) ; Telefone : (67) 2105-6060 | Site : http://aems.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4214262T6', 'Informações de coordenação obtidas: | Coordenador(a): JEFFERSON ANTHONY GABRIEL DE OLIVEIRA | 
Currículo encontrado ; Universidade Estadual de Mato Grosso do Sul (UEMS) ; Telefone : (67) 3902-2360 | Site : http://www.uems.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4702772T3', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Dr. Felipe André Sganzerla Graichen | Email: agroaquidauana@uems.br | Telefone: (67) 3904-2934 | 
Currículo encontrado ; Universidade Federal de Mato Grosso do Sul (UFMS) ; Telefone : (67) 3345-7001 | Site : http://www.ufms.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4760835D3', 'https://www.linkedin.com/in/sebasti%C3%A3o-ferreira-lima-b49756156/', 'Informações de coordenação obtidas: | Coordenador(a): SEBASTIAO FERREIRA DE LIMA\t | Email:  agro.cpcs@ufms.br | Telefone: (67) 3562-6302
Currículo encontrado ; Universidade Católica Dom Bosco (UCDB) ; Telefone : (67) 3312-3300 | Site : http://www.ucdb.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4717842U1', 'https://www.facebook.com/cleber.jadoski', 'Informações de coordenação obtidas: | Coordenador(a): Cleber Junior Jadoski | Email: agro@ucdb.br | Telefone: (67) 3312-3513
Currículo encontrado ; Centro Universitário de Formiga (UNIFORMG) ; Telefone : (37) 3329-1400 | Site : http://www.uniformg.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4383120E1', 'Informações de coordenação obtidas: | Coordenador(a): Dra. Fernanda Maria Rodrigues Castro | Email: coordengagr@uniformg.edu.br | Telefone:  (37) 3329 - 1475
Currículo encontrado ; Universidade Vale do Rio Verde (UNINCOR) ; Telefone : (35) 3239-1000 | Site : http://www.unincor.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4212330U1', 'Informações de coordenação obtidas: | Coordenador(a): Ramiro Machado Rezende | Email: coord.agronomia@unincor.edu.br
